line	rxn	mol	mol_id	con_rxn	old_a	new_a
158	elongate_1	ribosome	29	elongate_1	3.00000000e+00	2.00000000e+00
159	elongate_1	ribosome	73	elongate_1	2.00000000e+00	1.00000000e+00
159	elongate_1	ribosome	73	elongate_2	2.00000000e+00	3.00000000e+00
160	elongate_2	ribosome	73	elongate_2	3.00000000e+00	2.00000000e+00
161	initiate	ribosome	72	elongate_1	1.00000000e+00	2.00000000e+00
162	elongate_2	ribosome	39	elongate_2	2.00000000e+00	1.00000000e+00
162	elongate_2	ribosome	39	elongate_3	2.00000000e+00	3.00000000e+00
163	elongate_1	ribosome	72	elongate_1	2.00000000e+00	1.00000000e+00
164	elongate_3	ribosome	87	elongate_3	3.00000000e+00	2.00000000e+00
164	elongate_3	ribosome	87	terminate	1.00000000e+00	2.00000000e+00
164	elongate_3	ribosome	29	elongate_2	1.00000000e+00	2.00000000e+00
165	elongate_3	ribosome	9	elongate_3	2.00000000e+00	1.00000000e+00
165	elongate_3	ribosome	9	terminate	2.00000000e+00	3.00000000e+00
166	terminate	ribosome	9	terminate	3.00000000e+00	2.00000000e+00
167	terminate	ribosome	98	terminate	2.00000000e+00	1.00000000e+00
167	terminate	ribosome	73	elongate_3	1.00000000e+00	2.00000000e+00
168	elongate_3	ribosome	39	elongate_3	2.00000000e+00	1.00000000e+00
168	elongate_3	ribosome	39	terminate	1.00000000e+00	2.00000000e+00
169	elongate_2	ribosome	29	elongate_2	2.00000000e+00	1.00000000e+00
170	elongate_3	ribosome	73	elongate_3	1.00000000e+00	0.00000000e+00
170	elongate_3	ribosome	73	terminate	2.00000000e+00	3.00000000e+00
170	elongate_3	ribosome	72	elongate_2	1.00000000e+00	2.00000000e+00
171	elongate_2	ribosome	72	elongate_2	2.00000000e+00	1.00000000e+00
172	initiate	ribosome	55	elongate_1	1.00000000e+00	2.00000000e+00
173	elongate_1	ribosome	55	elongate_1	2.00000000e+00	1.00000000e+00
173	elongate_1	ribosome	55	elongate_2	1.00000000e+00	2.00000000e+00
174	elongate_2	ribosome	59	elongate_2	2.00000000e+00	1.00000000e+00
174	elongate_2	ribosome	59	elongate_3	0.00000000e+00	1.00000000e+00
174	elongate_2	ribosome	57	elongate_1	1.00000000e+00	2.00000000e+00
175	terminate	ribosome	87	terminate	3.00000000e+00	2.00000000e+00
175	terminate	ribosome	29	elongate_3	1.00000000e+00	2.00000000e+00
176	initiate	ribosome	74	elongate_1	2.00000000e+00	3.00000000e+00
177	terminate	ribosome	39	terminate	2.00000000e+00	1.00000000e+00
178	elongate_1	ribosome	57	elongate_1	3.00000000e+00	2.00000000e+00
179	elongate_3	ribosome	59	elongate_3	2.00000000e+00	1.00000000e+00
179	elongate_3	ribosome	59	terminate	1.00000000e+00	2.00000000e+00
179	elongate_3	ribosome	57	elongate_2	1.00000000e+00	2.00000000e+00
180	elongate_2	ribosome	55	elongate_2	2.00000000e+00	1.00000000e+00
180	elongate_2	ribosome	55	elongate_3	1.00000000e+00	2.00000000e+00
181	initiate	ribosome	25	elongate_1	2.00000000e+00	3.00000000e+00
182	initiate	ribosome	67	elongate_1	3.00000000e+00	4.00000000e+00
183	initiate	ribosome	94	elongate_1	4.00000000e+00	5.00000000e+00
184	terminate	ribosome	73	terminate	2.00000000e+00	1.00000000e+00
184	terminate	ribosome	72	elongate_3	2.00000000e+00	3.00000000e+00
185	elongate_2	ribosome	57	elongate_2	1.00000000e+00	0.00000000e+00
186	elongate_3	ribosome	55	elongate_3	3.00000000e+00	2.00000000e+00
186	elongate_3	ribosome	55	terminate	1.00000000e+00	2.00000000e+00
187	elongate_3	ribosome	29	elongate_3	2.00000000e+00	1.00000000e+00
187	elongate_3	ribosome	29	terminate	2.00000000e+00	3.00000000e+00
188	terminate	ribosome	55	terminate	3.00000000e+00	2.00000000e+00
189	elongate_1	ribosome	67	elongate_1	5.00000000e+00	4.00000000e+00
189	elongate_1	ribosome	67	elongate_2	0.00000000e+00	1.00000000e+00
190	elongate_1	ribosome	74	elongate_1	4.00000000e+00	3.00000000e+00
190	elongate_1	ribosome	74	elongate_2	1.00000000e+00	2.00000000e+00
192	elongate_2	ribosome	67	elongate_2	2.00000000e+00	1.00000000e+00
192	elongate_2	ribosome	67	elongate_3	1.00000000e+00	2.00000000e+00
193	elongate_1	ribosome	94	elongate_1	3.00000000e+00	2.00000000e+00
193	elongate_1	ribosome	94	elongate_2	1.00000000e+00	2.00000000e+00
194	elongate_2	ribosome	74	elongate_2	2.00000000e+00	1.00000000e+00
194	elongate_2	ribosome	74	elongate_3	2.00000000e+00	3.00000000e+00
194	elongate_2	ribosome	90	elongate_1	2.00000000e+00	3.00000000e+00
195	elongate_1	ribosome	25	elongate_1	3.00000000e+00	2.00000000e+00
196	terminate	ribosome	29	terminate	2.00000000e+00	1.00000000e+00
197	elongate_3	ribosome	74	elongate_3	3.00000000e+00	2.00000000e+00
197	elongate_3	ribosome	74	terminate	1.00000000e+00	2.00000000e+00
198	elongate_2	ribosome	94	elongate_2	1.00000000e+00	0.00000000e+00
198	elongate_2	ribosome	94	elongate_3	2.00000000e+00	3.00000000e+00
199	terminate	ribosome	59	terminate	2.00000000e+00	1.00000000e+00
199	terminate	ribosome	57	elongate_3	3.00000000e+00	4.00000000e+00
200	elongate_3	ribosome	67	elongate_3	4.00000000e+00	3.00000000e+00
200	elongate_3	ribosome	67	terminate	1.00000000e+00	2.00000000e+00
201	elongate_3	ribosome	57	elongate_3	3.00000000e+00	2.00000000e+00
201	elongate_3	ribosome	57	terminate	2.00000000e+00	3.00000000e+00
202	elongate_1	ribosome	90	elongate_1	2.00000000e+00	1.00000000e+00
202	elongate_1	ribosome	90	elongate_2	0.00000000e+00	1.00000000e+00
203	elongate_3	ribosome	72	elongate_3	2.00000000e+00	1.00000000e+00
203	elongate_3	ribosome	72	terminate	3.00000000e+00	4.00000000e+00
203	elongate_3	ribosome	25	elongate_2	1.00000000e+00	2.00000000e+00
204	terminate	ribosome	72	terminate	4.00000000e+00	3.00000000e+00
207	terminate	ribosome	74	terminate	3.00000000e+00	2.00000000e+00
208	terminate	ribosome	67	terminate	2.00000000e+00	1.00000000e+00
209	elongate_3	ribosome	94	elongate_3	1.00000000e+00	0.00000000e+00
209	elongate_3	ribosome	94	terminate	1.00000000e+00	2.00000000e+00
210	elongate_2	ribosome	25	elongate_2	2.00000000e+00	1.00000000e+00
210	elongate_2	ribosome	25	elongate_3	0.00000000e+00	1.00000000e+00
210	elongate_2	ribosome	73	elongate_1	1.00000000e+00	2.00000000e+00
211	terminate	ribosome	57	terminate	2.00000000e+00	1.00000000e+00
212	terminate	ribosome	94	terminate	1.00000000e+00	0.00000000e+00
213	elongate_3	ribosome	25	elongate_3	1.00000000e+00	0.00000000e+00
213	elongate_3	ribosome	25	terminate	0.00000000e+00	1.00000000e+00
215	initiate	ribosome	14	elongate_1	2.00000000e+00	3.00000000e+00
216	elongate_2	ribosome	90	elongate_2	1.00000000e+00	0.00000000e+00
216	elongate_2	ribosome	90	elongate_3	0.00000000e+00	1.00000000e+00
216	elongate_2	ribosome	89	elongate_1	3.00000000e+00	4.00000000e+00
217	elongate_1	ribosome	89	elongate_1	4.00000000e+00	3.00000000e+00
218	terminate	ribosome	25	terminate	1.00000000e+00	0.00000000e+00
219	initiate	ribosome	94	elongate_1	3.00000000e+00	4.00000000e+00
220	elongate_1	ribosome	94	elongate_1	4.00000000e+00	3.00000000e+00
220	elongate_1	ribosome	94	elongate_2	0.00000000e+00	1.00000000e+00
221	elongate_1	ribosome	31	elongate_1	3.00000000e+00	2.00000000e+00
221	elongate_1	ribosome	31	elongate_2	1.00000000e+00	2.00000000e+00
222	elongate_2	ribosome	31	elongate_2	2.00000000e+00	1.00000000e+00
222	elongate_2	ribosome	31	elongate_3	1.00000000e+00	2.00000000e+00
223	elongate_3	ribosome	31	elongate_3	2.00000000e+00	1.00000000e+00
223	elongate_3	ribosome	31	terminate	0.00000000e+00	1.00000000e+00
224	elongate_1	ribosome	73	elongate_1	2.00000000e+00	1.00000000e+00
224	elongate_1	ribosome	73	elongate_2	1.00000000e+00	2.00000000e+00
225	elongate_2	ribosome	94	elongate_2	2.00000000e+00	1.00000000e+00
225	elongate_2	ribosome	94	elongate_3	1.00000000e+00	2.00000000e+00
